date,subways_total_estimated_ridership,subways_of_comparable_pre_pandemic_day,buses_total_estimated_ridersip,buses_of_comparable_pre_pandemic_day,metro_north_total_estimated_ridership,metro_north_of_comparable_pre_pandemic_day,access_a_ride_total_scheduled_trips,access_a_ride_of_comparable_pre_pandemic_day,bridges_and_tunnels_total_traffic,bridges_and_tunnels_of_comparable_pre_pandemic_day,staten_island_railway_total_estimated_ridership,staten_island_railway_of_comparable_pre_pandemic_day,lirr_total_estimated_ridership,lirr_of_comparable_pre_pandemic_day
2020-04-29T00:00:00.000,477799,0.09,15406,0.01,10165,0.04,7844,0.27,410502,0.44,790,0.05,9100,0.03
2020-04-30T00:00:00.000,465869,0.08,14062,0.01,9971,0.03,7253,0.25,405169,0.43,764,0.05,9335,0.03
2020-05-01T00:00:00.000,494549,0.09,14893,0.01,9206,0.03,8332,0.28,445621,0.46,763,0.04,6200,0.02
2020-05-02T00:00:00.000,325865,0.1,8912,0.01,5908,0.04,5493,0.32,401938,0.42,489,0.1,3959,0.03
2020-05-03T00:00:00.000,258865,0.11,6404,0.01,4839,0.05,3263,0.19,353314,0.41,334,0.09,3314,0.03
2020-05-04T00:00:00.000,511866,0.09,16315,0.01,10765,0.04,8287,0.28,447424,0.46,897,0.05,11158,0.03
2020-05-05T00:00:00.000,522085,0.09,16377,0.01,10604,0.04,8445,0.29,462086,0.48,894,0.05,13265,0.04
2020-05-06T00:00:00.000,508824,0.09,15677,0.01,10107,0.04,8832,0.3,444179,0.46,822,0.05,14489,0.05
2020-05-07T00:00:00.000,535073,0.09,16130,0.01,11248,0.04,8509,0.29,488836,0.51,930,0.05,16139,0.05
2020-05-08T00:00:00.000,526054,0.09,14571,0.01,11243,0.04,8656,0.29,483831,0.5,811,0.05,15714,0.05
2020-05-09T00:00:00.000,316883,0.1,7594,0.01,6018,0.04,5055,0.29,371426,0.39,489,0.1,7651,0.06
2020-05-10T00:00:00.000,271947,0.11,6367,0.01,5879,0.06,3962,0.23,415868,0.49,406,0.12,7990,0.08
2020-05-11T00:00:00.000,520873,0.09,15176,0.01,11435,0.04,7636,0.26,458042,0.48,829,0.05,18349,0.06
2020-05-12T00:00:00.000,553372,0.1,15989,0.01,11489,0.04,8271,0.28,488406,0.51,914,0.05,19018,0.06
2020-05-13T00:00:00.000,565377,0.1,16170,0.01,11931,0.04,9437,0.32,509243,0.53,956,0.05,19356,0.06
2020-05-14T00:00:00.000,567392,0.1,15905,0.01,12132,0.04,8855,0.3,520395,0.54,923,0.05,19310,0.06
2020-05-15T00:00:00.000,587808,0.1,15481,0.01,12937,0.05,9473,0.32,562991,0.58,976,0.06,20092,0.06
2020-05-16T00:00:00.000,360844,0.11,8742,0.01,8100,0.05,5947,0.34,477098,0.5,485,0.1,11075,0.09
2020-05-17T00:00:00.000,287418,0.12,6504,0.01,6168,0.06,3577,0.21,391606,0.46,337,0.1,8793,0.09
2020-05-18T00:00:00.000,595469,0.1,17206,0.01,13142,0.05,8969,0.3,505315,0.53,1036,0.06,22113,0.07
2020-05-19T00:00:00.000,610884,0.11,17296,0.01,12778,0.04,9290,0.32,524483,0.54,1067,0.06,21599,0.07
2020-05-20T00:00:00.000,623749,0.11,17674,0.01,12754,0.04,10224,0.35,542409,0.56,1044,0.06,22224,0.07
2020-05-21T00:00:00.000,629298,0.11,17565,0.01,13295,0.05,9731,0.33,585553,0.61,1069,0.06,22585,0.07
2020-05-22T00:00:00.000,633883,0.11,16453,0.01,14712,0.05,9782,0.33,626984,0.65,1046,0.06,22830,0.07
2020-05-23T00:00:00.000,335830,0.1,7186,0.01,7613,0.05,5550,0.32,394091,0.41,420,0.09,10983,0.09
2020-05-24T00:00:00.000,320015,0.13,6642,0.01,8977,0.09,4117,0.24,461171,0.54,361,0.1,11871,0.12
2020-05-25T00:00:00.000,393918,0.16,7996,0.01,12983,0.12,5428,0.18,445015,0.52,441,0.13,19321,0.2
2020-05-26T00:00:00.000,656766,0.11,17819,0.01,14938,0.05,9875,0.34,587270,0.61,1173,0.07,26691,0.08
2020-05-27T00:00:00.000,674465,0.12,17911,0.01,14433,0.05,11088,0.38,601140,0.62,1240,0.07,26483,0.08
2020-05-28T00:00:00.000,658057,0.12,17535,0.01,14162,0.05,10030,0.34,584629,0.61,1191,0.07,25175,0.08
2020-05-29T00:00:00.000,657259,0.11,16378,0.01,15698,0.05,10185,0.35,598608,0.62,1094,0.06,25070,0.08
2020-05-30T00:00:00.000,426737,0.13,9112,0.01,11003,0.07,6143,0.35,537180,0.56,18,0,15557,0.13
2020-05-31T00:00:00.000,344426,0.14,6724,0.01,9390,0.09,4216,0.25,495488,0.58,2,0,13554,0.14
2020-06-01T00:00:00.000,687162,0.12,17833,0.01,16185,0.05,10760,0.37,595060,0.61,1358,0.08,34339,0.1
2020-06-02T00:00:00.000,693760,0.12,16576,0.01,16295,0.06,11206,0.38,579412,0.59,1516,0.09,33769,0.1
2020-06-03T00:00:00.000,681714,0.12,17830,0.01,15649,0.05,11962,0.41,582624,0.59,1323,0.08,32523,0.1
2020-06-04T00:00:00.000,726672,0.13,18538,0.01,17149,0.06,12000,0.41,650868,0.66,1346,0.08,29771,0.09
2020-06-05T00:00:00.000,703576,0.13,16863,0.01,18065,0.06,11698,0.4,643562,0.65,1249,0.08,33482,0.1
2020-06-06T00:00:00.000,464198,0.14,8912,0.01,12179,0.08,6591,0.38,551793,0.56,9,0,18090,0.15
2020-06-07T00:00:00.000,377990,0.14,7579,0.01,11231,0.1,4650,0.26,538419,0.58,95,0.02,16797,0.17
2020-06-08T00:00:00.000,804542,0.14,25663,0.01,20140,0.07,11957,0.41,644830,0.66,1596,0.1,42630,0.13
2020-06-09T00:00:00.000,842306,0.15,26247,0.01,19543,0.07,12869,0.44,680462,0.69,1662,0.1,42274,0.13
2020-06-10T00:00:00.000,857015,0.15,26735,0.01,20518,0.07,13616,0.46,680270,0.69,1767,0.11,43083,0.13
2020-06-11T00:00:00.000,818297,0.15,24284,0.01,19525,0.07,12514,0.43,656696,0.67,1576,0.1,40961,0.12
2020-06-12T00:00:00.000,896658,0.16,24459,0.01,24165,0.08,13224,0.45,765492,0.78,1656,0.1,45072,0.14
2020-06-13T00:00:00.000,545316,0.17,12115,0.01,16675,0.11,7794,0.45,631065,0.64,17,0,25355,0.21
2020-06-14T00:00:00.000,430439,0.16,8731,0.01,13795,0.13,5195,0.29,563725,0.61,7,0,20859,0.21
2020-06-15T00:00:00.000,897112,0.16,27057,0.01,22841,0.08,12953,0.44,674785,0.69,1813,0.11,47545,0.14
2020-06-16T00:00:00.000,932671,0.17,28049,0.01,22555,0.08,12939,0.44,695359,0.71,1874,0.12,46876,0.14
2020-06-17T00:00:00.000,948461,0.17,27924,0.01,24167,0.08,14595,0.5,709680,0.72,1857,0.11,47166,0.14
2020-06-18T00:00:00.000,942382,0.17,27516,0.01,24081,0.08,13808,0.47,729487,0.74,1936,0.12,47851,0.14
2020-06-19T00:00:00.000,986929,0.38,25578,0.02,27772,0.25,13868,0.47,797519,0.86,1751,0.45,50201,0.51
2020-06-20T00:00:00.000,576075,0.18,11899,0.01,18560,0.12,8185,0.47,666226,0.68,22,0,28959,0.24
2020-06-21T00:00:00.000,449497,0.17,9072,0.01,16720,0.15,6328,0.35,654914,0.71,,,27094,0.28
2020-06-22T00:00:00.000,1000046,0.18,30863,0.01,25367,0.09,13314,0.45,733291,0.75,2027,0.13,53878,0.16
2020-06-23T00:00:00.000,1050786,0.19,32305,0.02,24909,0.08,15069,0.51,744822,0.76,2219,0.14,52898,0.16
2020-06-24T00:00:00.000,1068333,0.19,32504,0.02,25277,0.09,15155,0.52,752750,0.77,2194,0.14,52354,0.16
2020-06-25T00:00:00.000,1078796,0.19,32393,0.02,25644,0.09,14854,0.51,781618,0.79,2210,0.14,53444,0.16
2020-06-26T00:00:00.000,1102382,0.2,30480,0.01,29700,0.1,15048,0.51,830887,0.85,2115,0.13,55647,0.17
2020-06-27T00:00:00.000,615398,0.19,12942,0.01,17933,0.11,8541,0.49,630731,0.64,686,0.14,26773,0.22
2020-06-28T00:00:00.000,535898,0.2,10167,0.01,15919,0.15,5748,0.32,623131,0.67,590,0.15,25680,0.26
2020-06-29T00:00:00.000,1100769,0.2,33264,0.02,28163,0.1,14705,0.5,767165,0.78,2317,0.14,63309,0.19
2020-06-30T00:00:00.000,1113124,0.2,33996,0.02,27077,0.09,15291,0.52,758785,0.77,2386,0.15,57955,0.17
2020-07-01T00:00:00.000,1120537,0.21,32921,0.02,27770,0.1,16451,0.58,779409,0.81,2305,0.17,56505,0.18
2020-07-02T00:00:00.000,1170483,0.22,32730,0.02,31948,0.11,15981,0.56,881471,0.92,2365,0.17,64261,0.2
2020-07-03T00:00:00.000,851877,0.36,16862,0.02,32050,0.3,10915,0.38,713240,0.81,1138,0.32,56181,0.54
2020-07-04T00:00:00.000,591605,0.21,10769,0.01,22085,0.14,8391,0.53,569212,0.62,690,0.14,38388,0.3
2020-07-05T00:00:00.000,533692,0.23,9832,0.01,19137,0.18,6280,0.38,659099,0.75,528,0.15,34569,0.33
2020-07-06T00:00:00.000,1084956,0.21,31548,0.02,30557,0.11,14886,0.53,750584,0.78,2222,0.16,63862,0.2
2020-07-07T00:00:00.000,1157185,0.22,33595,0.02,30507,0.11,16003,0.56,749833,0.78,2403,0.17,61756,0.2
2020-07-08T00:00:00.000,1172279,0.22,34242,0.02,30174,0.11,16980,0.6,758208,0.79,2454,0.18,63048,0.2
2020-07-09T00:00:00.000,1211280,0.23,34762,0.02,31914,0.11,17017,0.6,818034,0.85,2571,0.19,65483,0.21
2020-07-10T00:00:00.000,1030632,0.2,25544,0.01,29683,0.1,15738,0.56,712635,0.74,2117,0.15,55929,0.18
2020-07-11T00:00:00.000,692977,0.25,12872,0.01,18684,0.12,8453,0.53,625288,0.68,812,0.16,30059,0.24
2020-07-12T00:00:00.000,628187,0.27,10966,0.01,19860,0.19,7395,0.45,703590,0.8,731,0.2,34905,0.33
2020-07-13T00:00:00.000,1175700,0.22,33302,0.02,31876,0.11,15928,0.56,756123,0.79,2504,0.18,66384,0.21
2020-07-14T00:00:00.000,1241080,0.24,35391,0.02,31922,0.11,17081,0.6,794838,0.83,2669,0.19,66321,0.21
2020-07-15T00:00:00.000,1248413,0.24,34701,0.02,32604,0.12,18149,0.64,803399,0.84,2751,0.2,66549,0.21
2020-07-16T00:00:00.000,1249128,0.24,34199,0.02,33259,0.12,17230,0.61,819850,0.85,2756,0.2,66732,0.21
2020-07-17T00:00:00.000,1207265,0.23,29696,0.01,35415,0.13,16401,0.58,819471,0.85,2427,0.18,64806,0.2
2020-07-18T00:00:00.000,778936,0.28,14335,0.01,24071,0.16,9785,0.62,747445,0.81,786,0.15,41235,0.32
2020-07-19T00:00:00.000,584994,0.25,9845,0.01,18675,0.18,7052,0.43,696110,0.79,504,0.14,36429,0.35
2020-07-20T00:00:00.000,1156735,0.22,30196,0.01,32280,0.11,15957,0.56,770607,0.8,2428,0.18,67721,0.21
2020-07-21T00:00:00.000,1241819,0.24,32482,0.02,33214,0.12,16831,0.59,792955,0.82,2725,0.2,67594,0.21
2020-07-22T00:00:00.000,1233668,0.23,33863,0.02,32486,0.11,17582,0.62,784013,0.82,2716,0.2,65348,0.21
2020-07-23T00:00:00.000,1233795,0.23,33999,0.02,32976,0.12,17056,0.6,791577,0.82,2632,0.19,65637,0.21
2020-07-24T00:00:00.000,1218138,0.23,29987,0.01,36640,0.13,17311,0.61,826030,0.86,2511,0.18,65889,0.21
2020-07-25T00:00:00.000,816604,0.29,14777,0.01,25173,0.16,10350,0.65,769898,0.83,799,0.16,43340,0.34
2020-07-26T00:00:00.000,606910,0.26,9711,0.01,20170,0.19,7429,0.45,697533,0.79,542,0.15,36164,0.35
2020-07-27T00:00:00.000,1203503,0.23,32072,0.02,31569,0.11,16607,0.59,793225,0.83,2626,0.19,70114,0.22
2020-07-28T00:00:00.000,1241770,0.24,33753,0.02,31678,0.11,16892,0.6,782226,0.81,2635,0.19,66687,0.21
2020-07-29T00:00:00.000,1296102,0.25,35257,0.02,33734,0.12,18216,0.64,816959,0.85,2778,0.2,69995,0.22
2020-07-30T00:00:00.000,1270172,0.24,33982,0.02,34123,0.12,17333,0.61,820275,0.85,2746,0.2,68958,0.22
2020-07-31T00:00:00.000,1258539,0.24,29917,0.01,38041,0.13,17654,0.62,859774,0.89,2429,0.18,67648,0.21
2020-08-01T00:00:00.000,842468,0.29,16087,0.01,26261,0.17,10685,0.64,799745,0.83,904,0.19,44405,0.33
2020-08-02T00:00:00.000,590060,0.25,9874,0.01,17886,0.17,7431,0.41,648735,0.7,615,0.17,30502,0.29
2020-08-03T00:00:00.000,1272996,0.25,36945,0.02,32884,0.12,17594,0.63,818732,0.84,2955,0.22,70779,0.23
2020-08-04T00:00:00.000,1027187,0.2,29426,0.01,22286,0.08,14924,0.53,577415,0.59,1499,0.11,36835,0.12
2020-08-05T00:00:00.000,1348202,0.26,38283,0.02,26598,0.1,18299,0.66,847330,0.87,2824,0.21,58005,0.19
2020-08-06T00:00:00.000,1334694,0.26,37059,0.02,28283,0.1,19117,0.68,847497,0.87,3125,0.23,66671,0.21
2020-08-07T00:00:00.000,1283894,0.25,32170,0.02,32882,0.12,17502,0.63,844097,0.87,2741,0.2,65969,0.21
2020-08-08T00:00:00.000,833287,0.28,15143,0.01,23514,0.15,10613,0.64,730739,0.76,806,0.17,41729,0.31
2020-08-09T00:00:00.000,662993,0.28,11534,0.01,20503,0.2,8287,0.46,744618,0.81,649,0.18,37616,0.36
2020-08-10T00:00:00.000,1275268,0.25,34883,0.02,33501,0.12,18178,0.65,826001,0.85,2995,0.22,73548,0.24
2020-08-11T00:00:00.000,1319814,0.26,36426,0.02,33509,0.12,18546,0.66,821976,0.85,3164,0.24,72436,0.23
2020-08-12T00:00:00.000,1298963,0.25,36053,0.02,33736,0.12,19346,0.69,800865,0.82,3124,0.23,68345,0.22
2020-08-13T00:00:00.000,1291277,0.25,34723,0.02,33823,0.12,18608,0.67,819019,0.84,2971,0.22,69223,0.22
2020-08-14T00:00:00.000,1355786,0.26,32713,0.02,39342,0.14,18113,0.65,893657,0.92,3012,0.23,72916,0.23
2020-08-15T00:00:00.000,860789,0.29,15522,0.01,27678,0.18,11487,0.69,804346,0.84,974,0.21,46806,0.35
2020-08-16T00:00:00.000,554451,0.23,8603,0.01,18165,0.17,7902,0.44,620686,0.67,529,0.15,29858,0.29
2020-08-17T00:00:00.000,1304485,0.25,34768,0.02,35362,0.13,17377,0.62,806108,0.83,3058,0.23,74453,0.24
2020-08-18T00:00:00.000,1369617,0.27,36646,0.02,34361,0.13,19274,0.69,838008,0.86,2951,0.22,74213,0.24
2020-08-19T00:00:00.000,1292148,0.25,34181,0.02,34377,0.13,19915,0.71,816805,0.84,2783,0.21,70104,0.22
2020-08-20T00:00:00.000,1410489,0.27,35059,0.02,37078,0.14,19344,0.69,889782,0.92,2960,0.22,75643,0.24
2020-08-21T00:00:00.000,1387463,0.27,31342,0.02,41110,0.15,19035,0.68,909773,0.94,2769,0.21,76062,0.24
2020-08-22T00:00:00.000,882522,0.3,13705,0.01,27785,0.18,11456,0.69,812308,0.85,871,0.18,49095,0.37
2020-08-23T00:00:00.000,671560,0.28,9698,0.01,22497,0.22,8297,0.46,737097,0.8,633,0.18,37891,0.36
2020-08-24T00:00:00.000,1307345,0.25,34021,0.02,35904,0.13,17643,0.63,815665,0.84,2756,0.21,75145,0.24
2020-08-25T00:00:00.000,1346490,0.26,34993,0.02,35689,0.13,18682,0.67,821597,0.85,2845,0.21,73331,0.23
2020-08-26T00:00:00.000,1407639,0.27,35975,0.02,36621,0.13,20659,0.74,859625,0.88,3012,0.23,76583,0.24
2020-08-27T00:00:00.000,1358272,0.26,33969,0.02,35551,0.13,19271,0.69,847285,0.87,2856,0.21,73060,0.23
2020-08-28T00:00:00.000,1388583,0.27,31956,0.02,41222,0.15,18845,0.67,899892,0.93,2716,0.2,76114,0.24
2020-08-29T00:00:00.000,773667,0.26,14035,0.01,22235,0.15,9814,0.59,645956,0.67,798,0.17,37641,0.28
2020-08-30T00:00:00.000,748061,0.31,16027,0.01,26521,0.26,9752,0.54,805096,0.87,825,0.23,45147,0.43
2020-08-31T00:00:00.000,1397264,0.27,787291,0.39,37727,0.14,18185,0.65,817544,0.84,3184,0.24,78122,0.25
2020-09-01T00:00:00.000,1469274,0.25,947758,0.41,36035,0.12,18929,0.64,809685,0.85,3217,0.19,76483,0.23
2020-09-02T00:00:00.000,1487969,0.26,972213,0.42,36160,0.13,19990,0.67,810144,0.85,3192,0.19,77585,0.24
2020-09-03T00:00:00.000,1529185,0.26,1022623,0.44,39920,0.14,19992,0.67,869126,0.91,3327,0.19,82554,0.25
2020-09-04T00:00:00.000,1568385,0.27,1030811,0.44,47153,0.16,20223,0.68,936602,0.98,3148,0.18,88345,0.27
2020-09-05T00:00:00.000,1013725,0.31,715922,0.51,34622,0.23,12118,0.71,798823,0.84,21,0.01,50550,0.43
2020-09-06T00:00:00.000,819409,0.32,559273,0.51,28566,0.27,10160,0.59,753036,0.85,191,0.07,44727,0.45
2020-09-07T00:00:00.000,870964,0.34,615802,0.56,27326,0.26,9261,0.31,697865,0.79,1210,0.41,80050,0.81
2020-09-08T00:00:00.000,1555816,0.27,1039401,0.45,42963,0.15,19806,0.67,833996,0.88,3496,0.2,90603,0.28
2020-09-09T00:00:00.000,1610076,0.28,1072887,0.46,41954,0.15,21801,0.73,825412,0.87,3586,0.21,86063,0.26
2020-09-10T00:00:00.000,1543662,0.27,997030,0.43,39296,0.14,20181,0.68,801431,0.84,3403,0.2,82142,0.25
2020-09-11T00:00:00.000,1690334,0.29,1070920,0.46,47781,0.17,20809,0.7,895766,0.94,3442,0.2,88582,0.27
2020-09-12T00:00:00.000,1083698,0.34,752875,0.54,32400,0.21,12349,0.72,800190,0.84,29,0.01,44546,0.38
2020-09-13T00:00:00.000,796740,0.31,557231,0.51,24009,0.23,9315,0.54,703809,0.8,4,0,36686,0.37
2020-09-14T00:00:00.000,1604381,0.28,1065601,0.46,41286,0.14,19888,0.67,799573,0.84,3515,0.21,89498,0.27
2020-09-15T00:00:00.000,1678078,0.29,1091806,0.47,41288,0.14,20763,0.7,815700,0.86,3696,0.22,87025,0.27
2020-09-16T00:00:00.000,1686909,0.29,1097389,0.47,41417,0.14,22070,0.74,816708,0.86,3496,0.2,87034,0.27
2020-09-17T00:00:00.000,1692368,0.29,1094592,0.47,42339,0.15,21005,0.71,848024,0.89,3617,0.21,86854,0.27
2020-09-18T00:00:00.000,1725443,0.3,1083295,0.47,48213,0.17,20702,0.7,894931,0.94,3367,0.2,90657,0.28
2020-09-19T00:00:00.000,1136947,0.35,752437,0.54,34609,0.23,12246,0.71,802614,0.84,1001,0.24,46777,0.4
2020-09-20T00:00:00.000,827605,0.33,558863,0.51,26329,0.25,9269,0.54,705596,0.8,760,0.26,38973,0.39
2020-09-21T00:00:00.000,1624139,0.28,1058256,0.46,41901,0.15,19488,0.66,788505,0.83,3497,0.2,89706,0.27
2020-09-22T00:00:00.000,1698504,0.29,1095678,0.47,41389,0.14,21103,0.71,808351,0.85,3821,0.22,87376,0.27
2020-09-23T00:00:00.000,1735333,0.3,1119904,0.48,42506,0.15,22501,0.76,834469,0.88,3710,0.22,88998,0.27
2020-09-24T00:00:00.000,1722364,0.3,1107707,0.48,42969,0.15,21554,0.73,857578,0.9,3816,0.22,89129,0.27
2020-09-25T00:00:00.000,1761591,0.31,1110956,0.48,49819,0.17,21233,0.72,912599,0.96,3708,0.22,92506,0.28
2020-09-26T00:00:00.000,1120143,0.35,755197,0.54,35772,0.23,12128,0.71,824515,0.86,32,0.01,47169,0.4
